summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
"Solid company, brilliant team","Learning so much about data management, piplining, cloud computing and everyone is willing to collaborate on hard problems. Very generous and inclusive environment.",Complicated product for those without accounting backgrounds.,2024-06-12T16:29:44.967,Senior Software Engineer,5,5,4,5,5,5,4,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Worst Startup Ive ever been apart of,The market is ready for an AI accounting solution and it is exciting to be apart of that,"This is an extremely toxic and political organization run from the top down. Just look up the founder and LeandUp... you will come across many lawsuits. 

No one wants you to succeed unless it is because of them or if they can take credit. I was constantly told not to do too much and to stay in my lane. Then when I could accomplish anything, all credit would be taken away from higher-ups.

I was fired with no warning after exceeding goals I was told were unrealistic.",2024-12-21T15:28:03.373,,2,3,3,2,1,3,1,NEGATIVE,NEGATIVE,4.3,4.2,4.2,4.1
"Challenging and purposeful work, with a word-class team","I find the work equally challenging and rewarding. The problems we tackle are complex and require innovative solutions, which keeps me engaged and motivated.

Our product also addresses a real market need, which adds a sense of purpose to daily tasks.

The culture minimizes unnecessary meetings, allowing ample time to focus on development and problem-solving without constant interruptions.

Further, the flexibility to work remotely is a significant attractor to me. I get to to be as head's down as I need in an environment that suits my needs, and really benefits the work-life balance.

The team is truly remarkable.","Due to the rapid growth of the team, we have experienced several rounds of changes in internal processes. While I trust that these changes are necessary for scaling, they can sometimes be disruptive and are not yet fully optimized.

The workload can occasionally become overwhelming because there is so much to get done.

One notable thing is the CEO's tendency to use a blunt-tone when addressing the team. It can affect team morale (especially with newcomers who don't yet realize that it's mostly a communication-style used to emphasize urgency and import)",2024-06-07T12:12:25.093,Senior Software Engineer,5,5,5,5,5,5,4,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Huge opportunity for growth/ strong leadership at the helm.,"Really exciting opportunity to be a part of something greenfield and groundbreaking. The market is ripe for disruption and Puzzle could definitely be the one to take down some of the decades old incumbents in the accounting space. 

Really really smart folks. I'm truly blown away any time I ""sit in a room"" with my colleagues. I feel like its helping me grow both professionally and personally.

Winning team mentality. None of that ""we are a family"" nonsense which is always a red flag to me when I hear it. We all like each other, we push each other to be better, and we all want to win. 

Fully remote, great perks/benefits, meaningful equity that actually makes you feel a sense of ownership.",Not really a con if you know what you are getting into but this is an early stage startup. If you are looking for someone to tell you what to do and how to do it- this isn't the place. If you are a self-starter who wants autonomy and impact- Puzzle is for you.,2024-04-26T14:01:50.920,,5,4,5,5,5,4,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Great WLB and People,"Great people, super friendly and low ego, leadership is always interested in learning and growing, and work life balance is good though there is on-call which usually isn't too bad",The company is still in early stages and priorities can change quickly which can be frustrating,2024-09-30T17:51:48.890,Software Engineer,4,5,4,4,5,4,4,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
A Dynamic and Innovative Workplace,"The company fosters a dynamic and innovative environment where creativity and collaboration are highly valued.

Pros:

Supportive Culture: The team is highly supportive, and management is approachable and genuinely cares about employee growth and well-being.
Opportunities for Growth: There are plenty of opportunities for professional development and career advancement. The company encourages continuous learning and provides resources for skill enhancement.
Exciting Projects: Working on cutting-edge projects that have a real impact in the tech industry is both challenging and rewarding.
Flexible Work Environment: Puzzle.io offers a flexible work environment. Remote work options and flexible hours make it easy to manage personal and professional responsibilities.
Innovative Mindset: The company is always looking ahead and encourages innovative thinking and problem-solving. This mindset keeps the work interesting and forward-thinking.","As with any fast-growing company, there can be occasional growing pains. However, these are often addressed quickly, and feedback is always taken seriously.",2024-05-29T11:28:05.273,GTM Manager,5,4,4,5,5,5,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
"Experienced leadership, big growth potential, very fast","Taking on mega-industry incumbents can be intimidating. They have more resources, more time at grade, and more room for error. Fortunately, the execs at Puzzle are experienced startup leaders who have raised a lot of capital and navigated the rollercoaster that is a startup many times - and it shows. With such growth at the company, there is tremendous opportunity to grab the reins and lead an initiative as long as you have good reasoning behind what you're doing. And if you want to move fast, it's pretty quick over here.","There's a lot to do at a growing company. With so much going on, it's not uncommon to feel like you could use an extra hand.",2024-05-30T22:46:17.450,Marketing,5,4,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Fast moving startup with lots of talent,"Puzzle is a remote-first company - there is no expecting in-office time at all. There are 2 'off site' trips/year that are mandatory, but they are held at fun locations (San Fran, Palm Springs, Jackson, WY, etc). 

Tech stack is typescript (front and back end) + React, and a little Python. I'm really impressed with the talent of everyone at the company.","Medical benefit premiums are expensive for a family (premiums are 100% free for employee), no 401k match, but otherwise solid benefits.",2024-06-11T11:34:41.653,Senior Software Engineer,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Fast-Paced and Passionate Company,The entire team is hungry for success. If you are looking to be a part of a largely ambitious startup then this is the place for you!,"We want to win and there's a lot of work to do! Long days and some weekend work is not uncommon, but we do it because we want to succeed.",2024-05-03T11:41:01.873,,5,4,5,5,0,0,0,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
High performing team.  Lots of autonomy and opportunity for impact.,"- Experienced management team, well funded
- Some of the smartest, most talented people I have worked with.
- Lots of opportunity to make an impact","- Early stage so priorities change more often than a big company.
- Growing fast, so lots to do. Sometimes you just have to figure it out.",2024-04-26T14:12:51.573,,5,4,5,5,5,4,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Very happy still after 2 years!,"Exciting and rewarding work.
Competent coworkers.
Good management.","Going through growing pain as company expands.
Things can be a bit more organized.",2024-06-11T11:59:27.880,Staff Software Engineer,5,5,4,4,5,5,5,POSITIVE,POSITIVE,4.3,4.2,4.2,4.1
Don't recommend,It's a job and it pays.,"Toxic environment, overworked, unbalanced responsibilities, unkept promises, favoritism, lack of transparency and accountability.",2023-11-15T10:41:00.280,Senior Software Engineer,1,1,1,1,1,1,1,NEGATIVE,NEUTRAL,4.3,4.2,4.2,4.1
