product_name,sku,description,brand,ingredient,rating_value,review_count,image_url,product_url,customer_name,review_date,star_rating,review_title,review_text,neg,neu,pos,compound,sentiment,pred
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"Aug 2, 2024",5 out of 5 stars review,Wheat Grass Powder for Well-Being,"I recently started taking this wheat grass powder after hearing about its numerous health benefits. Although I can't comment on the long-term effects just yet, I wanted to share my initial impressions. 

First and foremost, I found the taste to be quite pleasant, contrary to some of the less favorable reviews I've read. It's not gross at all; in fact, I actually enjoy it. I appreciate that it's easy to incorporate into my daily routine.

I'll be sure to update this review as I continue to use the powder and see any potential results. For now I'm pleased with both the taste and the quality.",tensor(0.),tensor(0.7600),tensor(0.2400),tensor(0.9791),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerbCustomer,"Jun 13, 2024",5 out of 5 stars review,A great energy booster,This is my first buy of this brand of organic wheatgrass and it showed good energy level after just a few days.  I feel refreshed and did not feel tired as I normally do.  This product is pretty fresh green food supplement for which it is widely knowsn as an antioxidant superfood.  I feel fit and energetic and will definitely take it as a supplement for greens. I can recommend this to everybody looking to improve their energy level.  Will surely buy more of this. ,tensor(0.),tensor(0.6990),tensor(0.3010),tensor(0.9807),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"Jul 19, 2024",5 out of 5 stars review,Best superfood! ,"I been using this brand over a year now, I have a collagen from them, and really love it. I start adding wheatgrass powder into my daily smoothies, or sometimes I just drink it with the water. I noticed a huge improvement in my skin, energy level is up, and the mood is better. ",tensor(0.),tensor(0.7680),tensor(0.2320),tensor(0.9299),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,fie-koi,"Sep 14, 2024",5 out of 5 stars review,"Search the web for a wheatgrass mouthwash, targeting gum disease",I bought this wheatgrass for a DIY mouthwash (in which I also added xylitol and some drops of grapefruit seed extract as a preservative and disinfectant). We will see.,tensor(0.),tensor(1.),tensor(0.),tensor(0.),neutral,neutral
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb customer,"Sep 7, 2024",5 out of 5 stars review,sub for barley,"I originally used to only use wheatgrass but switched to barley years ago, but this year, barley is crazy priced so I ordered this.. honestly can't tell the difference in flavor or energy level. good quality though",tensor(0.0650),tensor(0.6970),tensor(0.2380),tensor(0.8462),positive,negative
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerbCustomer,"Sep 1, 2024",5 out of 5 stars review,Excellent!,"Very good value for money, will consider buying again Very good value for money, will consider buying again Very good value for money, will consider buying again ",tensor(0.),tensor(0.5440),tensor(0.4560),tensor(0.9486),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"Jul 27, 2024",5 out of 5 stars review,good antioxidant,I add this to my breakfast drink to thicken and provide more nutritional benefits. have been doing this for decades but only started buying this brand recently as the price is good.,tensor(0.),tensor(0.8380),tensor(0.1620),tensor(0.6993),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"May 2, 2024",5 out of 5 stars review,Great for teeth,Im using this as part of a mix/concoction for teeth remineralization.  It was recommended on another site. The benefits are various. Its not just for overall diet and health but can be used for teeth! The quality is one of the best in comparison to other brands. Highly recommend if you cant easily grow wheatgrass yourself.,tensor(0.0380),tensor(0.7670),tensor(0.1950),tensor(0.8867),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb customer,"Sep 9, 2024",3 out of 5 stars review,A little reticent about it ,I bought this product to give it a try and overall I would say it is okay.  One thing that bothered me is the fact that it is not super easy to dissolve it  but I managed to do it by adding a little bit of electrolytes. I haven't tried it long enough to comment on the benefits. ,tensor(0.0860),tensor(0.8380),tensor(0.0770),tensor(0.1088),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,Shereen39,"Jun 26, 2024",3 out of 5 stars review,"Superfoods, Organic Wheat Grass Powder, 8.5 oz  (240 g)","Sure, here's a review focusing on those aspects:

---

**Superfoods Organic Wheat Grass Powder Review**

**Quality:** Superfoods Organic Wheat Grass Powder impresses with its high-quality organic ingredients. It's evident that care has been taken in sourcing and processing to maintain nutritional integrity.

**Ingredients:** The powder contains pure organic wheat grass, free from additives or fillers, ensuring a concentrated dose of nutrients like chlorophyll, vitamins, and minerals.

**Package:** The packaging is sturdy and well-sealed, maintaining freshness. The resealable bag is convenient for easy access and storage.

**Ease of Use:** Mixing the powder into smoothies, juices, or water is effortless. It dissolves well without clumping, making it versatile for daily use.

**Benefits:** Regular consumption supports detoxification, boosts energy levels, and provides a rich source of antioxidants, promoting overall health and vitality.

Overall, Superfoods Organic Wheat Grass Powder stands out for its quality ingredients, convenient packaging, and ease of use, making it an excellent choice for health-conscious individuals seeking a nutrient-rich supplement . ",tensor(0.),tensor(0.7360),tensor(0.2640),tensor(0.9926),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"Nov 19, 2022",5 out of 5 stars review,Good product!,I love that this wheatgrass powder is organic. Every morning I mix a small spoonful in a glass of water & drink it. It takes a bit to get used to but it is so beneficial to your health I don't mind it :) you can always mix it in a smoothie too. Great product! ,tensor(0.0470),tensor(0.7510),tensor(0.2010),tensor(0.9088),positive,positive
"Organic Wheat Grass Powder, Sourced from USA, USDA Certified Organic, 8.5 oz (240 g)",tensor(705154315),"Formulated with Organic Wheat Grass Harvested from Kansas, USA Adds a Mild, Grassy, and Sweet Flavor to Recipes Mix into Smoothies, Shakes, Yogurt, or Oatmeal for an Added Nutritional Boost Suitable for Vegetarians  California Gold Nutrition® Superfoods  Organic Wheat Grass Powder can give all your favorite foods a healthy boost. It’s the perfect addition to smoothies, shakes, yogurt, and oatmeal and can even be baked into your favorite dishes.",California Gold Nutrition,​Main,tensor(4.6000),tensor(788),https://i5.walmartimages.com/seo/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g_71ddaa98-af0e-48c7-97c8-62040df69eb1.ada452b53e407e14e71b0afb6c70e9fa.jpeg,https://www.walmart.com/ip/Organic-Wheat-Grass-Powder-Sourced-from-USA-USDA-Certified-Organic-8-5-oz-240-g/705154315,iHerb Customer,"Apr 15, 2022",3 out of 5 stars review,Ok,This is my first time trying wheatgrass and using powdered form so I can't compare it to any other product. It smells grassy and the taste reminds me of matcha. Doesn't taste as good as matcha in my opinion but I've also gotten used to it just mixed with water. This doesn't dissolve very well. You might have a better time using a blender. I haven't noticed any benefits. Nothing bad either. I've only been using this for a few weeks so maybe it's too early to tell. The price is reasonable.  ,tensor(0.0690),tensor(0.8560),tensor(0.0750),tensor(0.3818),positive,negative
