summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
Great,Great product and owns the market,None that I can think of,2024-12-18T13:01:48,Account Executive,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
This company is not what they seem.,"They pay well, provide meals &amp; snacks in hubs.","-Inaccessible leadership, even at director &amp; manager levels
-Confusing secrecy. There are problems with the way you are doing things, but we won't tell you exactly what the problems are, we'll occasionally change what the problems are, and we won't tell you where the feedback is coming from. 
-Retaliatory behavior. If you complain about the wrong person, even if that person is showing blatant disrespect or even illegally harassing you, their friends in management will retaliate
-Lack of organization. Projects can't get done because you can't get a consensus on getting them done. 
-Zero trust. You're not able to do your job unless multiple people approve every aspect. There is micromanaging at a level I've never seen before.
-There is a serious communication issue. You will not get the information you need or be told where what little information you have is coming from. You will then be told that you need to communicate better.",2025-02-06T09:24:51.950,,1,1,4,1,1,3,1,NEGATIVE,NEUTRAL,4.3,4.1,4.3,4.5
Strong culture great products,"Fully remote 
Good products 
Smart people
Strong culture 
Unlimited time off","Marketing leadership losing vision 
CMO feels weak no strong leadership 
Hard to get promoted, elusive favoritism based criteria",2025-02-11T23:14:44.767,Marketing,4,3,3,3,3,3,3,,,4.3,4.1,4.3,4.5
Account Executive Mid-Market,"- The people &amp; culture
- Great product &amp; market leader in the space","- Tough to hit quotas
- Lots of changes",2025-01-24T15:25:33.363,Account Executive Mid-Market,4,4,4,4,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Decent ,Good environment to work in,Not much. Decent experience to work,2025-01-26T21:10:20.397,Program Manager,4,4,4,4,4,5,4,,,4.3,4.1,4.3,4.5
"Great people, interesting product, relentless grind","- Kindest, smartest, and most talented co-workers you'll ever get to work with
- Interesting challenges to solve, which keep you on your toes always pushing the boundaries of your work
- Nice SF office, decent location
- Generous monthly stipend for caregivers and parents, which can be used for extracurricular activities, babysitters, educational resources, and more
- Personable CEO who makes an effort to know and acknowledge people in the company
- The company is profitable and doing well!
- A rocket ship that is adored by many","The company benefits and perks come at a price. The grind is real and is celebrated by execs. Be prepared to put in long hours, especially as major events like Config approach. Burnout is a common occurrence due to the intense workload. It's challenging to maintain a work-life balance and truly disconnect, as the company's ambitious nature demands constant focus on launching new features, updates, and hosting events at a rapid pace. These relentless working conditions are unsustainable in the long run. Compounding the issue, opportunities for career growth and upward mobility are limited, leaving employees feeling stagnant and facing a career plateau. You need to be extra proactive in advocating for yourself or else you'll just be swept away in the grind.",2024-05-08T09:47:52.500,Designer,3,2,3,3,5,5,4,,POSITIVE,4.3,4.1,4.3,4.5
Love the work and the people,"Great culture with collaboration and respect, amazing product, good leadership, lots of optimism for the future. I used to dread going to work in my past companies on Monday morning. At Figma, I find the projects and team mates interesting and want to go and work in the morning. Figma is also fully remote, which gives me more time to spend with family compared to being at the road in the Bay Area traffic. Coming from FANG companies, I found work place politics to be close to zero. Very high percentage of people try to do what is right for Figma, which is very refreshing.","No major complaints at all. When we see growing pains, leadership is generally quick to address them. Even though company is fully remote, if you want face time with others, the Hubs are not very close. For instance, in Bay Area, I have to commute to SF to see team mates. Luckily I do it only once or twice a month, which works fine. Would love to see more Hubs in the East Bay.",2024-06-06T07:03:18.213,Senior Software Engineer,5,4,5,5,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Great company,"Great company with a bright future ahead. The product is in a league of it's own, the people are smart, and the culture is great.",Management struggles to make decisions and to maintain focus on important initiatives. Compensation is below average considering the businesses performance and there is no clear career trajectory for most employees.,2024-11-06T10:45:08.540,Business Operations,5,4,3,3,4,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
"Innovative, warm, and welcoming people, competitive pay, and great benefits!",Teams are always working to keep employees informed of upcoming changes and to maintain a positive company culture. Catered breakfast and lunch Monday - Thursday. Variety of snacks and beverages available all week long. Lots of good effort from the BEI team to create a culture of belonging.,"Teams can be very distributed across the globe. Other teams have been able to connect through regular offsites, but with my small, international team, the opportunities to fully connect and meet my team members in London and Tokyo has been very limited.",2024-09-24T07:20:14.737,Community Support Specialist,5,3,4,3,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
"Great people, promising company","Company is very well positioned, coworkers are very strong and humble",Career advancement can be challenging,2024-11-26T21:14:59.263,Global Business Operations,5,4,4,3,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Stay Away - Sales,"great perks, cool product, industry disruptor - lots of smart people on PDE. Dylan Field is a genuine person.","The expectations are not realistic. Globally hitting targets (or coming close to them) but that is because of 10-12 people out of 100 reps are hitting target across all segments. Most people not even hitting 70%. More focus on ""activity"" than what is actually working. Managers want to look good to their managers who want to look good to the CRO....everyone is afraid to say what is actually going on. Toxic, stressful work environment. Burnout rampant. Books are not quality accounts, inflexible about changing processes to include methods that would actually help us increase revenue.",2022-11-09T13:43:45.470,Account Executive,2,1,5,2,5,5,2,NEGATIVE,NEUTRAL,4.3,4.1,4.3,4.5
Great place good pay,"Great pay
Good manager
Good learning opportunities + growth",Nothing much to say here,2023-12-19T02:56:21.783,Software Engineer,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Excellent,Great Perks. Good Pay. Vacation.,Lot of hours working. But worth it.,2023-12-28T13:57:44.417,Data Engineer,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
Good,"People care about the product, you make something that matters.","High performance culture, not bad comparatively, but definitely not a place to coast. Could be a pro tbh.",2023-11-13T15:28:10.400,Software Engineer,5,0,0,0,0,0,0,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Highly Recommend!,One of the best culture and team that you could ask for within a startup. Every employees truly cares about the product and their vision of making Figma better every day.,"Figma is a high growth startup with endless potential. However, due to the fast nature of this growth and wearing many hats, the workload and long hours could be heavy.",2023-07-26T11:37:08.097,,5,3,5,4,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
Love Figma,Dylan is a fantastic person as are many of the leaders at Figma. The BDR segment is growing quickly and offers a clear pathway for promotion to AE role. Plenty of talented people to learn from and fun product,"Typical growing pains, be adaptable to change",2023-08-11T08:33:31.767,Business Development Representative (BDR),5,5,5,5,5,5,4,POSITIVE,POSITIVE,4.3,4.1,4.3,4.5
You must fit the mold,Talented teams and solid people. Product has very high user satisfaction.,"Culture is narrow, you either fit in or you don't. Workloads are a bit overloaded. Product planning is not solid, a bit too reactionary. Not as high of a return now that Adobe may acquire.",2023-05-17T10:24:30.177,,3,1,2,2,3,2,3,NEGATIVE,POSITIVE,4.3,4.1,4.3,4.5
very good,amazing work place it is,salary could be higher but its ok,2023-10-12T00:59:05.560,Graphic Designer,5,0,0,0,0,0,0,,,4.3,4.1,4.3,4.5
